Date,Description,Credit,Debit,Balance
10/07/2025,CCT ACF ASCF Hig ASCF2 Withdrawal - Receipt 153804 - From  332027 554648757,35056.10,,67856.39
07/07/2025,"Internal Transfer - Receipt 149060 - To Orange One Low Rate Platinum  ",,-4236.96,32800.29
05/07/2025,"Internal Transfer - Receipt 815882 - From Orange Everyday  ",860.62,,37037.25
01/07/2025,"Rabbit Spleen Soup - Receipt 474444 - From Orange Everyday  ",21058.00,,36176.63
30/06/2025,Bonus Interest Credit - Receipt 935088,141.43,,15118.63
30/06/2025,Interest Credit,1.42,,14977.20
30/06/2025,CCT ACF ASCF Hig 67880321 - Receipt 132037 - From  332027 554648757,186.99,,14975.78
29/06/2025,"Internal Transfer - Receipt 314692 - To Orange Everyday  ",,-58.00,14788.79
29/06/2025,"Internal Transfer - Receipt 264106 - To Orange Everyday  ",,-100.00,14846.79
29/06/2025,"Internal Transfer - Receipt 236800 - To Orange Everyday  ",,-20900.00,14946.79
17/06/2025,"Internal Transfer - Receipt 17339 - From Orange Everyday  ",1025.42,,35846.79
17/06/2025,"ubank - Receipt 605115 - To Orange Everyday  ",,-1000.00,34821.37
13/06/2025,020PERPETUAL     000816 Remara IGCF - Receipt 123217 - From  012003 838658746,485.81,,35821.37
11/06/2025,"bsa - Receipt 412477 - To Orange Everyday  ",,-0.10,35335.56
05/06/2025,"Internal Transfer - Receipt 221245 - To Orange One Low Rate Platinum  ",,-3261.27,35335.66
02/06/2025,"Internal Transfer - Receipt 381172 - From Orange Everyday  ",326.67,,38596.93
02/06/2025,CCT ACF ASCF Hig 67880321 - Receipt 120422 - From  332027 554648757,193.22,,38270.26
01/06/2025,"Internal Transfer - Receipt 518038 - From Orange Everyday  ",8500.00,,38077.04
01/06/2025,"Internal Transfer - Receipt 181570 - From Orange Everyday  ",14788.52,,29577.04
31/05/2025,Bonus Interest Credit - Receipt 958404,222.58,,14788.52
31/05/2025,Interest Credit,2.08,,14565.94
31/05/2025,"Internal Transfer - Receipt 709283 - To Orange Everyday  ",,-0.14,14563.86
31/05/2025,"Internal Transfer - Receipt 677421 - From Orange Everyday  ",0.60,,14564.00
31/05/2025,"int - Receipt 633976 - To Orange Everyday  ",,-23915.65,14563.40
27/05/2025,"Internal Transfer - Receipt 535430 - From Orange Everyday  ",860.00,,38479.05
15/05/2025,"Internal Transfer - Receipt 78566 - From Orange Everyday  ",500.00,,37619.05
15/05/2025,"ubank - Receipt 765261 - To Orange Everyday  ",,-500.00,37119.05
08/05/2025,"lungs - Receipt 70102 - To Orange Everyday  ",,-130.47,37619.05
07/05/2025,"save - Receipt 109879 - From Orange Everyday  ",27749.52,,37749.52
07/05/2025,"remera - Receipt 632849 - To Orange Everyday  ",,-90000.00,10000.00
07/05/2025,"Internal Transfer - Receipt 753918 - To Orange Everyday  ",,-130.89,100000.00
07/05/2025,"save - Receipt 709436 - From Orange Everyday  ",2561.00,,100130.89
06/05/2025,"Internal Transfer - Receipt 114858 - To Orange One Low Rate Platinum  ",,-2561.00,97569.89
01/05/2025,CCT ACF ASCF Hig 67880321 - Receipt 155107 - From  332027 554648757,130.89,,100130.89
01/05/2025,"save - Receipt 149548 - From Orange Everyday  ",85436.15,,100000.00
30/04/2025,Bonus Interest Credit - Receipt 940059,413.31,,14563.85
30/04/2025,Interest Credit,3.86,,14150.54
30/04/2025,"bruce - Receipt 684282 - From Orange Everyday  ",0.20,,14146.68
30/04/2025,"Internal Transfer - Receipt 615937 - To Orange Everyday  ",,-85853.52,14146.48
08/04/2025,"save - Receipt 448221 - From Orange Everyday  ",3452.36,,100000.00
08/04/2025,"ubank - Receipt 207604 - To Orange Everyday  ",,-500.00,96547.64
08/04/2025,"save - Receipt 110052 - From Orange Everyday  ",33.19,,97047.64
07/04/2025,"Internal Transfer - Receipt 113716 - To Orange One Low Rate Platinum  ",,-1701.33,97014.45
05/04/2025,"fart lemon - Receipt 812094 - To Orange Everyday  ",,-303.29,98715.78
02/04/2025,"Save - Receipt 434364 - From Orange Everyday  ",84872.40,,99019.07
31/03/2025,Bonus Interest Credit - Receipt 977058,432.59,,14146.67
31/03/2025,Interest Credit,4.04,,13714.08
31/03/2025,"lungs - Receipt 10529 - To Orange Everyday  ",,-84871.79,13710.04
31/03/2025,"traf nets - Receipt 703069 - From Orange Everyday  ",1010.00,,98581.83
10/03/2025,"Internal Transfer - Receipt 122766 - To Orange One Low Rate Platinum  ",,-898.63,97571.83
09/03/2025,"ratesplusKITrip - Receipt 819023 - To Orange Everyday  ",,-244.25,98470.46
07/03/2025,"kidney stone souip - Receipt 75859 - From Orange Everyday  ",303.29,,98714.71
07/03/2025,"visa - Receipt 520369 - To Orange Everyday  ",,-70.26,98411.42
07/03/2025,"Internal Transfer - Receipt 350212 - To Orange Everyday  ",,-300.00,98481.68
01/03/2025,"Internal Transfer - Receipt 750831 - From Orange Everyday  ",85071.65,,98781.68
28/02/2025,Bonus Interest Credit - Receipt 938382,361.90,,13710.03
28/02/2025,Interest Credit,40.01,,13348.13
28/02/2025,"Internal Transfer - Receipt 667299 - From Orange Everyday  ",0.01,,13308.12
28/02/2025,"Internal Transfer - Receipt 629029 - From Orange Everyday  ",9.00,,13308.11
28/02/2025,"Internal Transfer - Receipt 584785 - From Orange Everyday  ",444.98,,13299.11
28/02/2025,"Internal Transfer - Receipt 414344 - From Orange Everyday  ",0.01,,12854.13
28/02/2025,"Internal Transfer - Receipt 291561 - To Orange Everyday  ",,-85525.65,12854.12
19/02/2025,"Internal Transfer - Receipt 94325 - From Orange Everyday  ",200.00,,98379.77
19/02/2025,"RBP - Receipt 657482 - To Orange Everyday  ",,-200.00,98179.77
19/02/2025,"Internal Transfer - Receipt 602124 - From Orange Everyday  ",10.00,,98379.77
15/02/2025,"Internal Transfer - Receipt 444078 - To Orange Everyday  ",,-10.00,98369.77
15/02/2025,"carby spacer - Receipt 80132 - To Orange Everyday  ",,-40.00,98379.77
14/02/2025,"carmelas toe removal - Receipt 376672 - From Orange Everyday  ",1000.00,,98419.77
10/02/2025,"fart cream eye pieces - Receipt 190671 - To Orange Everyday  ",,-9.00,97419.77
08/02/2025,"Internal Transfer - Receipt 696615 - From Orange Everyday  ",20.00,,97428.77
07/02/2025,"Carby plate - Receipt 598801 - To Orange Everyday  ",,-60.00,97408.77
05/02/2025,"Internal Transfer - Receipt 209227 - To Orange One Low Rate Platinum  ",,-2531.23,97468.77
01/02/2025,"save - Receipt 828219 - From Orange Everyday  ",86691.89,,100000.00
01/02/2025,"fart - Receipt 929301 - To Orange Everyday  ",,-87145.88,13308.11
01/02/2025,"save - Receipt 959002 - From Orange Everyday  ",87145.88,,100453.99
31/01/2025,Bonus Interest Credit - Receipt 972498,408.59,,13308.11
31/01/2025,Interest Credit,45.40,,12899.52
31/01/2025,"trsdfr - Receipt 856945 - To Orange Everyday  ",,-87145.88,12854.12
24/01/2025,"Internal Transfer - Receipt 53307 - From Orange Everyday  ",1.50,,100000.00
24/01/2025,"Photocrowd - Receipt 644236 - To Orange Everyday  ",,-1.50,99998.50
06/01/2025,"Visa - Receipt 870498 - From Orange Everyday  ",2523.50,,100000.00
06/01/2025,"Internal Transfer - Receipt 209236 - To Orange One Low Rate Platinum  ",,-2523.50,97476.50
01/01/2025,"save - Receipt 346853 - From Orange Everyday  ",87145.89,,100000.00
31/12/2024,Bonus Interest Credit - Receipt 924475,408.53,,12854.11
31/12/2024,Interest Credit,45.39,,12445.58
31/12/2024,"Internal Transfer - Receipt 330526 - To Orange Everyday  ",,-11.00,12400.19
31/12/2024,"Internal Transfer - Receipt 252337 - To Orange Everyday  ",,-87588.81,12411.19
09/12/2024,"save - Receipt 157049 - From Orange Everyday  ",500.00,,100000.00
09/12/2024,"amp - Receipt 883880 - To Orange Everyday  ",,-500.00,99500.00
06/12/2024,"save - Receipt 772202 - From Orange Everyday  ",2003.38,,100000.00
06/12/2024,"Internal Transfer - Receipt 282208 - To Orange One Low Rate Platinum  ",,-2003.38,97996.62
01/12/2024,"Internal Transfer - Receipt 297352 - To Orange Everyday  ",,-1.00,100000.00
01/12/2024,"Internal Transfer - Receipt 279398 - From Orange Everyday  ",98662.54,,100001.00
01/12/2024,"save - Receipt 213769 - To Orange Everyday  ",,-11061.72,1338.46
30/11/2024,Bonus Interest Credit - Receipt 912587,394.61,,12400.18
30/11/2024,Interest Credit,43.85,,12005.57
30/11/2024,"tranny - Receipt 102734 - From Orange Everyday  ",0.01,,11961.72
30/11/2024,"Internal Transfer - Receipt 24576 - To Orange Everyday  ",,-88038.29,11961.71
28/11/2024,"save - Receipt 212237 - From Orange Everyday  ",80.00,,100000.00
28/11/2024,"ARMA - Receipt 169991 - To Orange Everyday  ",,-80.00,99920.00
20/11/2024,"ARMA - Receipt 462806 - From Orange Everyday  ",80.00,,100000.00
20/11/2024,"ARMA - Receipt 340723 - To Orange Everyday  ",,-80.00,99920.00
13/11/2024,"excess - Receipt 482368 - To Orange Everyday  ",,-1000.00,100000.00
13/11/2024,"MS Bronwyn Korendyk  - Deposit - Receipt 162266 ",1000.00,,101000.00
05/11/2024,"Internal Transfer - Receipt 117517 - From Orange Everyday  ",1755.54,,100000.00
05/11/2024,"Internal Transfer - Receipt 785667 - From Orange Everyday  ",529.22,,98244.46
05/11/2024,"Internal Transfer - Receipt 204047 - To Orange One Low Rate Platinum  ",,-1738.55,97715.24
01/11/2024,"tranny - Receipt 214226 - From Orange Everyday  ",99453.79,,99453.79
01/11/2024,"Internal Transfer - Receipt 172626 - To Orange Everyday  ",,-11961.71,0.00
31/10/2024,Bonus Interest Credit - Receipt 922896,408.41,,11961.71
31/10/2024,Interest Credit,45.38,,11553.30
31/10/2024,"Internal Transfer - Receipt 449219 - From Orange Everyday  ",0.01,,11507.92
31/10/2024,"trsfr - Receipt 370169 - To Orange Everyday  ",,-88492.09,11507.91
07/10/2024,"Save - Receipt 268342 - From Orange Everyday  ",1669.05,,100000.00
07/10/2024,"Internal Transfer - Receipt 177007 - To Orange One Low Rate Platinum  ",,-1669.05,98330.95
01/10/2024,"Internal Transfer - Receipt 26715 - To Orange Everyday  ",,-493.66,100000.00
01/10/2024,"Internal Transfer - Receipt 886091 - From Orange Everyday  ",88985.75,,100493.66
30/09/2024,Bonus Interest Credit - Receipt 931104,394.79,,11507.91
30/09/2024,Interest Credit,43.87,,11113.12
30/09/2024,"Hellipad - Receipt 85145 - To Orange Everyday  ",,-88930.75,11069.25
05/09/2024,"SAVE - Receipt 239497 - From Orange Everyday  ",3159.87,,100000.00
05/09/2024,"Internal Transfer - Receipt 158166 - To Orange One Low Rate Platinum  ",,-3159.87,96840.13
01/09/2024,"save - Receipt 776925 - From Orange Everyday  ",546.84,,100000.00
01/09/2024,"amp - Receipt 640764 - To Orange Everyday  ",,-1000.00,99453.16
01/09/2024,"save - Receipt 559171 - From Orange Everyday  ",89383.92,,100453.16
31/08/2024,Bonus Interest Credit - Receipt 969995,407.84,,11069.24
31/08/2024,Interest Credit,45.32,,10661.40
31/08/2024,"Int - Receipt 394997 - To Orange Everyday  ",,-89383.92,10616.08
19/08/2024,"fairy wing soup - Receipt 73763 - From Orange Everyday  ",1000.00,,100000.00
19/08/2024,"fart juice - Receipt 684264 - To Orange Everyday  ",,-1000.00,99000.00
06/08/2024,"Save - Receipt 293225 - From Orange Everyday  ",3303.21,,100000.00
05/08/2024,"Internal Transfer - Receipt 128337 - To Orange One Low Rate Platinum  ",,-3303.21,96696.79
01/08/2024,"Save - Receipt 664727 - From Orange Everyday  ",89383.93,,100000.00
31/07/2024,Bonus Interest Credit - Receipt 924905,407.69,,10616.07
31/07/2024,Interest Credit,45.30,,10208.38
31/07/2024,"Failed Fallopian  Flowers - Receipt 87108 - To Orange Everyday  ",,-89836.92,10163.08
10/07/2024,"SAve - Receipt 223348 - From Orange Everyday  ",1994.81,,100000.00
08/07/2024,"Internal Transfer - Receipt 73658 - To Orange One Low Rate Platinum  ",,-1994.81,98005.19
01/07/2024,"save - Receipt 544176 - From Orange Everyday  ",600.00,,100000.00
01/07/2024,"Corporate mouse levers - Receipt 317989 - To Orange Everyday  ",,-600.00,99400.00
01/07/2024,"Lemon Stained Shoe LAces - Receipt 855199 - From Orange Everyday  ",89836.93,,100000.00
30/06/2024,Bonus Interest Credit - Receipt 965444,394.61,,10163.07
30/06/2024,Interest Credit,43.85,,9768.46
30/06/2024,"Internal Transfer - Receipt 281790 - From Orange Everyday  ",1.00,,9724.61
30/06/2024,"Internal Transfer - Receipt 179292 - To Orange Everyday  ",,-90276.39,9723.61
25/06/2024,"WADHAM, JAMES DO - Receipt 100335 - From  939200 733644908",59000.00,,100000.00
25/06/2024,"save - Receipt 640525 - From Orange Everyday  ",41000.00,,41000.00
25/06/2024,"save - Receipt 323035 - To Orange Everyday  ",,-41000.00,0.00
25/06/2024,"super - Receipt 536383 - To Orange Everyday  ",,-59000.00,41000.00
05/06/2024,"save - Receipt 846487 - From Orange Everyday  ",2122.93,,100000.00
05/06/2024,"Internal Transfer - Receipt 201149 - To Orange One Low Rate Platinum  ",,-2122.93,97877.07
03/06/2024,"save - Receipt 440999 - From Orange Everyday  ",600.00,,100000.00
03/06/2024,"amp - Receipt 418552 - To Orange Everyday  ",,-200.00,99400.00
03/06/2024,"amp - Receipt 404429 - To Orange Everyday  ",,-400.00,99600.00
01/06/2024,"giddy fruit buds - Receipt 62294 - From Orange Everyday  ",200.00,,100000.00
01/06/2024,"donut spanners - Receipt 3428 - From Orange Everyday  ",400.00,,99800.00
01/06/2024,"amp - Receipt 674471 - To Orange Everyday  ",,-600.00,99400.00
01/06/2024,"BlueFart - Receipt 604188 - From Orange Everyday  ",90276.40,,100000.00
31/05/2024,Bonus Interest Credit - Receipt 919213,408.11,,9723.60
31/05/2024,Interest Credit,45.35,,9315.49
31/05/2024,"clap trap - Receipt 85818 - From Orange Everyday  ",1.00,,9270.14
31/05/2024,"Flup cannons - Receipt 59067 - To Orange Everyday  ",,-90730.86,9269.14
29/05/2024,"980 - Receipt 652135 - From Orange Everyday  ",980.00,,100000.00
29/05/2024,"980 - Receipt 529168 - To Orange Everyday  ",,-980.00,99020.00
29/05/2024,"20 - Receipt 481104 - From Orange Everyday  ",20.00,,100000.00
29/05/2024,"20 - Receipt 364883 - To Orange Everyday  ",,-20.00,99980.00
28/05/2024,"Internal Transfer - Receipt 751802 - From Orange Everyday  ",1.00,,100000.00
28/05/2024,"amp test - Receipt 576943 - To Orange Everyday  ",,-1.00,99999.00
06/05/2024,"mush honey - Receipt 112062 - To Orange Everyday  ",,-45.98,100000.00
06/05/2024,"Flush Money - Receipt 60793 - From Orange Everyday  ",1791.53,,100045.98
06/05/2024,"Internal Transfer - Receipt 114483 - To Orange One Low Rate Platinum  ",,-1745.55,98254.45
01/05/2024,"Scipture tincture - Receipt 406552 - To Orange Everyday  ",,-1.00,100000.00
01/05/2024,"Ferang Tubule Rivets - Receipt 393571 - From Orange Everyday  ",90731.86,,100001.00
30/04/2024,Bonus Interest Credit - Receipt 961404,392.85,,9269.14
30/04/2024,Interest Credit,43.65,,8876.29
30/04/2024,"Internal Transfer - Receipt 170341 - From Orange Everyday  ",0.10,,8832.64
30/04/2024,"Internal Transfer - Receipt 132101 - To Orange Everyday  ",,-2.29,8832.54
30/04/2024,"Internal Transfer - Receipt 102531 - From Orange Everyday  ",500.00,,8834.83
30/04/2024,"Internal Transfer - Receipt 42510 - From Orange Everyday  ",1.14,,8334.83
30/04/2024,"Internal Transfer - Receipt 7510 - To Orange Everyday  ",,-10.00,8333.69
30/04/2024,"Internal Transfer - Receipt 888606 - To Orange Everyday  ",,-70.00,8343.69
30/04/2024,"Internal Transfer - Receipt 863759 - To Orange Everyday  ",,-10.00,8413.69
30/04/2024,"Internal Transfer - Receipt 776812 - From Orange Everyday  ",2.00,,8423.69
30/04/2024,"Internal Transfer - Receipt 747641 - To Orange Everyday  ",,-1.00,8421.69
30/04/2024,"Cat frangers - Receipt 724811 - To Orange Everyday  ",,-91527.31,8422.69
29/04/2024,"AA - Receipt 324235 - To Orange Everyday  ",,-50.00,99950.00
06/04/2024,"save - Receipt 279813 - From Orange Everyday  ",3997.37,,100000.00
06/04/2024,"save - Receipt 877134 - From Orange Everyday  ",3997.37,,96002.63
05/04/2024,"Internal Transfer - Receipt 249395 - To Orange One Low Rate Platinum  ",,-3997.37,92005.26
04/04/2024,"Internal Transfer - Receipt 733885 - To Orange Everyday  ",,-3997.37,96002.63
01/04/2024,"wrist wringers - Receipt 173015 - From Orange Everyday  ",91167.46,,100000.00
31/03/2024,Bonus Interest Credit - Receipt 914517,368.59,,8832.54
31/03/2024,Interest Credit,40.95,,8463.95
31/03/2024,"Putrid Skylark - Receipt 269449 - To Orange Everyday  ",,-91577.00,8423.00
14/03/2024,"traf - Receipt 451582 - From Orange Everyday  ",1.55,,100000.00
14/03/2024,"fart - Receipt 242268 - From Orange Everyday  ",0.45,,99998.45
12/03/2024,"sayintentions - Receipt 604625 - To Orange Everyday  ",,-2.00,99998.00
12/03/2024,"save - Receipt 869742 - From Orange Everyday  ",1771.20,,100000.00
12/03/2024,"Final Countdown - Receipt 848548 - To Orange Everyday  ",,-885.60,98228.80
12/03/2024,"more blue flames - Receipt 768693 - From Orange Everyday  ",114.40,,99114.40
12/03/2024,"Blue Flames - Receipt 735663 - From Orange Everyday  ",2166.12,,99000.00
07/03/2024,"Internal Transfer - Receipt 157796 - To Orange One Low Rate Platinum  ",,-3166.12,96833.88
06/03/2024,"AMP - Receipt 318603 - To Orange Everyday  ",,-393.90,100000.00
06/03/2024,"save - Receipt 221440 - From Orange Everyday  ",3560.02,,100393.90
06/03/2024,"VISA - Receipt 875604 - To Orange Everyday  ",,-3166.12,96833.88
04/03/2024,"ScribbleJacketLegs - Receipt 94251 - From Orange Everyday  ",83570.95,,100000.00
04/03/2024,"PussBucketShoes - Receipt 866257 - From Orange Everyday  ",8006.36,,16429.05
29/02/2024,Bonus Interest Credit - Receipt 949765,380.42,,8422.69
29/02/2024,Interest Credit,42.27,,8042.27
29/02/2024,"savings - Receipt 412444 - To Orange Everyday  ",,-92000.00,8000.00
13/02/2024,"amp - Receipt 295913 - To Orange Everyday  ",,-35.00,100000.00
13/02/2024,"save - Receipt 200264 - From Orange Everyday  ",35.00,,100035.00
08/02/2024,"save - Receipt 294411 - From Orange Everyday  ",900.00,,100000.00
08/02/2024,"save - Receipt 166178 - From Orange Everyday  ",66.19,,99100.00
05/02/2024,"Internal Transfer - Receipt 92790 - To Orange One Low Rate Platinum  ",,-966.19,99033.81
01/02/2024,"Savings - Receipt 180951 - From Orange Everyday  ",92377.64,,100000.00
31/01/2024,Bonus Interest Credit - Receipt 911282,395.22,,7622.36
31/01/2024,Interest Credit,106.15,,7227.14
31/01/2024,"trsfr - Receipt 10240 - From Orange Everyday  ",1.00,,7120.99
31/01/2024,"trsfr - Receipt 858743 - To Orange Everyday  ",,-237944.77,7119.99
29/01/2024,"Internal Transfer - Receipt 232457 - From Orange Everyday  ",730.92,,245064.76
18/01/2024,"save - Receipt 591260 - From Orange Everyday  ",794.25,,244333.84
12/01/2024,"James Douglas Wadham sINGing - Deposit - Receipt 809149 ",3395.00,,243539.59
11/01/2024,"wild berry bannana pi - Receipt 540138 - From Orange Everyday  ",848.38,,240144.59
06/01/2024,"visa - Receipt 755014 - To Orange One Low Rate Platinum  ",,-4849.80,239296.21
06/01/2024,"savings - Receipt 669157 - From Orange Everyday  ",5000.00,,244146.01
06/01/2024,"savings - Receipt 191442 - From Orange Everyday  ",510.96,,239146.01
05/01/2024,"save - Receipt 277266 - From Orange Everyday  ",1000.00,,238635.05
05/01/2024,"amp - Receipt 228667 - To Orange Everyday  ",,-1000.00,237635.05
02/01/2024,"visa - Receipt 61888 - To Orange One Low Rate Platinum  ",,-500.00,238635.05
02/01/2024,"Internal Transfer - Receipt 955090 - From Orange Everyday  ",232015.06,,239135.05
31/12/2023,Bonus Interest Credit - Receipt 953583,261.55,,7119.99
31/12/2023,Interest Credit,56.97,,6858.44
31/12/2023,"savings - Receipt 251616 - From Orange Everyday  ",1.00,,6801.47
31/12/2023,"Internal Transfer - Receipt 226682 - To Orange Everyday  ",,-231216.36,6800.47
21/12/2023,"save - Receipt 38822 - From Orange Everyday  ",824.05,,238016.83
19/12/2023,"WADHAM, JAMES DO rING - Receipt 120773 - From  939200 733644908",5000.00,,237192.78
19/12/2023,James Douglas Wadham brING - Deposit - Receipt 733477  - Ref brING,5000.00,,232192.78
19/12/2023,"AMP - Receipt 452006 - To Orange Everyday  ",,-1000.00,227192.78
18/12/2023,"WADHAM, JAMES DO flING - Receipt 111365 - From  939200 733644908",100000.00,,228192.78
18/12/2023,"Savings - Receipt 65062 - From Orange Everyday  ",5000.00,,128192.78
15/12/2023,"WADHAM, JAMES DO jINGle - Receipt 158624 - From  939200 733644908",50000.00,,123192.78
14/12/2023,"WADHAM, JAMES DO blING - Receipt 168508 - From  939200 733644908",10000.00,,73192.78
14/12/2023,"WADHAM, JAMES DO jINGle - Receipt 168507 - From  939200 733644908",10000.00,,63192.78
14/12/2023,"WADHAM, JAMES DO bINGle - Receipt 168506 - From  939200 733644908",10000.00,,53192.78
14/12/2023,"WADHAM, JAMES DO ing - Receipt 168505 - From  939200 733644908",10000.00,,43192.78
14/12/2023,"Vacuous Viscous - Receipt 742105 - From Orange Everyday  ",796.92,,33192.78
13/12/2023,"Coles Visa - Receipt 306970 - To Orange Everyday  ",,-2982.40,32395.86
